official_id,query_name,scale_label,activated_family,best_config,best_design_pattern,best_p95_ms,best_primary_config,best_primary_p95_ms,primary_regret,activated_regret
QG10,QG10_AdvancedSearchWatchItems,sf0.25,"G0, G2, G3",G9,containment_family,115.31208974847686,G3,117.93523374872166,0.022748213183600215,0.022748213183600215
QG10,QG10_AdvancedSearchWatchItems,sf0.5,"G0, G2, G3",G7,containment_family,171.64141285902582,G3,174.50707810276066,0.01669565168452962,0.01669565168452962
QG10,QG10_AdvancedSearchWatchItems,sf1,"G0, G2, G3",G9,containment_family,299.80202334627387,G3,300.348336949537,0.001822247886006155,0.001822247886006155
QG3,QG3_RecommendationByGenreAndSubtype,sf0.25,"G0, G2, G3",G8,containment_family,5.637626150928553,G2,6.176213199796621,0.09553436755989199,0.09553436755989199
QG3,QG3_RecommendationByGenreAndSubtype,sf0.5,"G0, G2, G3",G8,containment_family,7.588796650088624,G0,7.950160656037042,0.04761809053668577,0.04761809053668577
QG3,QG3_RecommendationByGenreAndSubtype,sf1,"G0, G2, G3",G8,containment_family,10.41732880621566,G0,10.72731149906758,0.029756447033424116,0.029756447033424116
QG8,QG8_AddPersonRoleToWatchItem,sf1,"G0, G4, G5, G6",G3,root_local_family,0.3732010467501823,G0,0.3756350502953864,0.0065219633395975545,0.0065219633395975545
QG9,QG9_TopRatedSeriesByGenre,sf0.25,"G0, G2, G3",G7,containment_family,3.006609698422833,G0,40.19758284921407,12.369737638477112,12.369737638477112
QG9,QG9_TopRatedSeriesByGenre,sf0.5,"G0, G2, G3",G7,containment_family,2.054242697340668,G2,78.13642835462812,37.036610014863435,37.036610014863435
QG9,QG9_TopRatedSeriesByGenre,sf1,"G0, G2, G3",G7,containment_family,4.0780437040666575,G2,159.41339150376731,38.0906530366016,38.0906530366016
